Proposal Link,Identified Skills
https://www.nsf.gov/pubs/2016/nsf16518/nsf16518.htm,chemical; dynamic; engineering; fluid dynamic; foundation nsf; national science; science foundation
https://www.nsf.gov/pubs/2016/nsf16517/nsf16517.htm,application area; area; department defense; department energy; development; doe; energy; foundation nsf; health; nasa; national institute; national science; nih; robotics; science foundation; united state
https://www.nsf.gov/pubs/2016/nsf16515/nsf16515.htm,algorithm; area; artificial intelligence; computational model; computer architecture; computer science; computing information; data analytics; design analysis; including limited; learning; machine learning; programming language
https://www.nsf.gov/pubs/2016/nsf16513/nsf16513.htm,area; characterization evaluation; engineering; environmental health; foundation nsf; health; health safety; industrially relevant; industry; industry future; low cost; manufacturing process; nanomaterials; national science; production; science foundation; year
https://www.nsf.gov/pubs/2015/nsf15610/nsf15610.htm,composition; industry; service; test bed
https://www.nsf.gov/pubs/2015/nsf15608/nsf15608.htm,advanced material; computational method; development; discovery; engineering; material; material science; property; science engineering; system design; visual analytics
https://www.nsf.gov/pubs/2015/nsf15601/nsf15601.htm,applied mathematics; engineering; material; material science; physic; plasma; property; science engineering
https://www.nsf.gov/pubs/2015/nsf15595/nsf15595.htm,computer science; theoretical foundation
https://www.nsf.gov/pubs/2015/nsf15591/nsf15591.htm,general
https://www.nsf.gov/pubs/2015/nsf15582/nsf15582.htm,continued advancement; development; national science; science foundation
https://www.nsf.gov/pubs/2015/nsf15574/nsf15574.htm,intelligent system; project develop
https://www.nsf.gov/pubs/2015/nsf15563/nsf15563.htm,area; creating new; engineering; engineering activity; science engineering
https://www.nsf.gov/pubs/2015/nsf15559/nsf15559.htm,biological process; broad spectrum; chemical; chemistry; material; modeling
https://www.nsf.gov/pubs/2015/nsf15558/nsf15558.htm,also interested; biological process; chemical; energy; energy transport; engineering; science engineering; synthesis
https://www.nsf.gov/pubs/2015/nsf15551/nsf15551.htm,engineering; foundation nsf; national science; science foundation; science technology
https://www.nsf.gov/pubs/2015/nsf15550/nsf15550.htm,computer information; engineering; information science; national science; science engineering; science foundation; service
https://www.nsf.gov/pubs/2015/nsf15539/nsf15539.htm,dynamic; engineering
https://www.nsf.gov/pubs/2015/nsf15536/nsf15536.htm,computer science; engineering
https://www.nsf.gov/pubs/2015/nsf15530/nsf15530.htm,computer science; engineering; science technology
https://www.nsf.gov/pubs/2015/nsf15524/nsf15524.htm,engineering; science engineering
https://www.nsf.gov/pubs/2015/nsf15522/nsf15522.htm,advanced material; developing new; discovery; engineering; material; material engineering
https://www.nsf.gov/pubs/2015/nsf15521/nsf15521.htm,engineering; foundation nsf; national science; science engineering; science foundation; science technology; statistic; united state
https://www.nsf.gov/pubs/2015/nsf15515/nsf15515.htm,algorithm; area; computational model; computer architecture; computer science; data analytics; design analysis; including limited; learning; machine learning; programming language
https://www.nsf.gov/pubs/2015/nsf15512/nsf15512.htm,area; computer information; information science; science computer
https://www.nsf.gov/pubs/2015/nsf15511/nsf15511.htm,general
https://www.nsf.gov/pubs/2015/nsf15507/nsf15507.htm,area; characterization evaluation; environmental health; foundation nsf; health; health safety; industrially relevant; industry; industry future; low cost; nanomaterials; nanotechnology; national science; production; science foundation; year
https://www.nsf.gov/pubs/2015/nsf15506/nsf15506.htm,broad spectrum; engineering; including medical; material; science technology
